League Id;Date;Home;Score Home;Away;Score Away;Type;Played;Overtime;Shootout
0;2026-9-20;1;3;15;6;Pre-Season;1;0;0
0;2026-9-20;14;0;6;4;Pre-Season;1;0;0
0;2026-9-20;0;1;4;3;Pre-Season;1;0;0
0;2026-9-20;5;3;8;5;Pre-Season;1;0;0
0;2026-9-20;2;5;3;1;Pre-Season;1;0;0
0;2026-9-20;9;3;7;6;Pre-Season;1;0;0
0;2026-9-21;2;4;14;1;Pre-Season;1;0;0
0;2026-9-21;3;1;6;3;Pre-Season;1;0;0
0;2026-9-21;4;3;9;4;Pre-Season;1;1;0
0;2026-9-21;8;4;1;1;Pre-Season;1;0;0
0;2026-9-21;15;2;0;4;Pre-Season;1;0;0
0;2026-9-21;7;8;5;1;Pre-Season;1;0;0
0;2026-9-23;3;2;2;4;Pre-Season;1;0;0
0;2026-9-23;6;0;9;4;Pre-Season;1;0;0
0;2026-9-23;14;4;8;5;Pre-Season;1;0;0
0;2026-9-23;5;3;1;6;Pre-Season;1;0;0
0;2026-9-23;7;6;4;3;Pre-Season;1;0;0
0;2026-9-23;0;5;15;1;Pre-Season;1;0;0
0;2026-9-24;8;0;1;3;Pre-Season;1;0;0
0;2026-9-24;3;3;6;4;Pre-Season;1;1;1
0;2026-9-24;9;4;7;1;Pre-Season;1;0;0
0;2026-9-24;15;7;5;3;Pre-Season;1;0;0
0;2026-9-24;2;0;0;5;Pre-Season;1;0;0
0;2026-9-24;4;10;14;2;Pre-Season;1;0;0
0;2026-9-26;1;0;7;0;Pre-Season;0;0;0
0;2026-9-26;8;0;2;0;Pre-Season;0;0;0
0;2026-9-26;14;0;3;0;Pre-Season;0;0;0
0;2026-9-26;5;0;9;0;Pre-Season;0;0;0
0;2026-9-26;6;0;4;0;Pre-Season;0;0;0
0;2026-9-26;0;0;15;0;Pre-Season;0;0;0
0;2026-9-27;2;0;6;0;Pre-Season;0;0;0
0;2026-9-27;15;0;9;0;Pre-Season;0;0;0
0;2026-9-27;7;0;0;0;Pre-Season;0;0;0
0;2026-9-27;3;0;4;0;Pre-Season;0;0;0
0;2026-9-27;1;0;14;0;Pre-Season;0;0;0
0;2026-9-27;8;0;5;0;Pre-Season;0;0;0
0;2026-9-29;3;0;1;0;Pre-Season;0;0;0
0;2026-9-29;14;0;6;0;Pre-Season;0;0;0
0;2026-9-29;9;0;7;0;Pre-Season;0;0;0
0;2026-9-29;5;0;15;0;Pre-Season;0;0;0
0;2026-9-29;0;0;8;0;Pre-Season;0;0;0
0;2026-9-29;4;0;2;0;Pre-Season;0;0;0
0;2026-10-4;3;0;15;0;Regular Season;0;0;0
0;2026-10-4;6;0;7;0;Regular Season;0;0;0
0;2026-10-4;14;0;9;0;Regular Season;0;0;0
0;2026-10-4;1;0;0;0;Regular Season;0;0;0
0;2026-10-4;2;0;8;0;Regular Season;0;0;0
0;2026-10-4;5;0;4;0;Regular Season;0;0;0
0;2026-10-5;9;0;4;0;Regular Season;0;0;0
0;2026-10-6;3;0;0;0;Regular Season;0;0;0
0;2026-10-6;7;0;6;0;Regular Season;0;0;0
0;2026-10-6;2;0;8;0;Regular Season;0;0;0
